Strain (mm/mm) Run #5,Stress (MPa) Run #5,E(Run #5),Strain (mm/mm) Run #6,Stress (MPa) Run #6,E(Run #6 natural),Strain (mm/mm) Run #7,Stress (MPa) Run #7,E(Run #6 natural),Strain (mm/mm) Run #8,Stress (MPa) Run #8,,Strain (mm/mm) Run #9,Stress (MPa) Run #9,
0.128055556,131.2141639,,,,,0.130833333,461.7564016,,,,,0.206944444,0.371177964,
0.129444444,127.9264303,,,,,0.133333333,465.4153132,,,,,0.206944444,0.344743925,
0.130833333,123.1011167,,,,,0.135,465.4153132,,,,,0.206944444,0.291875847,
0.131388889,121.2452269,,,,,0.135833333,464.5672211,,,,,,,
0.134444444,83.78268658,,,,,0.136111111,463.0549738,,,,,,,
0.136388889,0.371177964,,,,,0.136944444,466.475979,,,,,,,
0.136388889,0.371177964,,,,,0.137777778,469.5511389,,,,,,,
0.136388889,0.318309886,,,,,0.138611111,466.7403194,,,,,,,
0.136388889,0.344743925,,,,,0.139166667,463.4536872,,,,,,,
0.136388889,0.371177964,,,,,0.139444444,463.4261517,,,,,,,
0.136388889,0.344743925,,,,,0.140833333,467.7745511,,,,,,,
0.136388889,0.291875847,,,,,0.141944444,470.425665,,,,,,,
,,,,,,0.143055556,470.5325026,,,,,,,
,,,,,,0.144444444,469.1799609,,,,,,,
,,,,,,0.145555556,472.4412604,,,,,,,
,,,,,,0.146944444,471.9643463,,,,,,,
,,,,,,0.147777778,468.1457291,,,,,,,
,,,,,,0.148611111,468.1996986,,,,,,,
,,,,,,0.148888889,470.425665,,,,,,,
,,,,,,0.15,462.4987575,,,,,,,
,,,,,,0.15,458.468668,,,,,,,
,,,,,,0.151111111,461.8621378,,,,,,,
,,,,,,0.151666667,469.8958828,,,,,,,
,,,,,,0.1525,475.4899863,,,,,,,
,,,,,,0.153888889,472.9181746,,,,,,,
,,,,,,0.155,476.6839237,,,,,,,
,,,,,,0.156111111,477.8238916,,,,,,,
,,,,,,0.156666667,475.1188083,,,,,,,
,,,,,,0.157777778,481.9068492,,,,,,,
,,,,,,0.158888889,476.868962,,,,,,,
,,,,,,0.159722222,477.5584498,,,,,,,
,,,,,,0.160555556,476.1530401,,,,,,,
,,,,,,0.161111111,470.7439749,,,,,,,
,,,,,,0.161944444,463.1882454,,,,,,,
,,,,,,0.163333333,467.0057612,,,,,,,
,,,,,,0.164444444,475.9140323,,,,,,,
,,,,,,0.165555556,472.6538342,,,,,,,
,,,,,,0.166111111,467.4837767,,,,,,,
,,,,,,0.167222222,475.8347302,,,,,,,
,,,,,,0.168888889,471.2219904,,,,,,,
,,,,,,0.169722222,472.2562222,,,,,,,
,,,,,,0.170555556,466.0254989,,,,,,,
,,,,,,0.171388889,469.5511389,,,,,,,
,,,,,,0.172222222,465.4417472,,,,,,,
,,,,,,0.173333333,461.5977974,,,,,,,
,,,,,,0.174166667,474.1649801,,,,,,,
,,,,,,0.174444444,468.1192951,,,,,,,
,,,,,,0.175833333,464.5936551,,,,,,,
,,,,,,0.1775,461.8885718,,,,,,,
